X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.0016067533438,38.8222440172752,44652,Ward 8,"4656 Livingston Road Southeast, Washington, District of Columbia 20032",Livingston Road Senior Apartments,Completed 2015 to Date,DCHFA DHCD,152,38.82216136,-77.00165767,0,0,152,0,0,,306051,399860.67,128272.96,4656 LIVINGSTON ROAD SE,2023/03/13 05:00:26+00
-77.0260335872869,38.9412322010382,44653,Ward 4,"4111 Kansas Avenue Northwest, Washington, District of Columbia 20011",4111 Kansas Ave NW,Completed 2015 to Date,DHCD,3,38.94116032,-77.02606714,0,0,0,3,0,,223660,397743.25,141481.88,4111 KANSAS AVENUE NW,2023/03/13 05:00:26+00
-77.0010445939855,38.9581553419466,44654,Ward 4,"5581 South Dakota Avenue Northeast, Washington, District of Columbia 20011",Riggs Park Place - Fort Totten Phase 1 (Townhome),Under Construction,DMPED,5,38.95814788,-77.00104231,0,3,0,2,0,,288682,399909.66,143360.18,5581 SOUTH DAKOTA AVENUE NE,2023/03/13 05:00:26+00
-77.0351908230629,38.9268539902138,44655,Ward 1,"1474 Columbia Road Northwest, Washington, District of Columbia 20009",Maycroft Redevelopment Project,Completed 2015 to Date,DHCD,64,38.92684653,-77.03518853,41,7,16,0,0,,234344,396948.76,139886.04,1474 COLUMBIA ROAD NW,2023/03/13 05:00:26+00
-77.000883103021,38.9238489759298,44656,Ward 5,"2612 4th Street Northeast, Washington, District of Columbia 20002",2612 4th St NE,Completed 2015 to Date,DHCD,1,38.92384118,-77.00088082,0,0,0,1,0,,319485,399923.62,139551.87,2612 4TH STREET NE,2023/03/13 05:00:26+00
-77.0268351136687,38.9564703336958,44657,Ward 4,"927 Kennedy St NW, Washington, District of Columbia 20011",927 Kennedy St NW,Completed 2015 to Date,DHCD,2,38.95646254,-77.02683282,0,1,0,1,0,,254531,397674.26,143173.47,927 KENNEDY STREET NW,2023/03/13 05:00:26+00
-77.0227884996029,38.9275684535634,44658,Ward 1,"2905 Georgia Avenue Northwest, Washington, District of Columbia 20001",2905-2909 Georgia Ave NW,Completed 2015 to Date,DHCD,2,38.92751398,-77.02275494,0,1,0,1,0,,237945,398024.2,139965.01,2905 GEORGIA AVENUE NW,2023/03/13 05:00:26+00
-76.9364294374472,38.9103854897402,44659,Ward 7,"1516 Kenilworth Avenue Northeast, Washington, District of Columbia 20019",Kenilworth 166 - Kenilworth Courts Phase 1,Under Construction,DCHA DCHFA DHCD,166,38.91037803,-76.93642717,40,126,0,0,0,,290477,405513.75,138059.23,1516 KENILWORTH AVENUE NE,2023/03/13 05:00:26+00
-77.0246098632603,38.9192495293205,44660,Ward 1,"945 Florida Avenue NW, Washington, District of Columbia 20001",Atlantic Plumbing,Completed 2015 to Date,DHCD,21,38.91924174,-77.02460757,0,0,0,21,0,,304678,397866.02,139041.58,945 FLORIDA AVENUE NW,2023/03/13 05:00:26+00
-77.0232348334891,38.9074581656261,44661,Ward 6,"801 N Street Northwest, Washington, District of Columbia 20007",801 N St NW,Completed 2015 to Date,DHCD,2,38.90745038,-77.02323254,0,1,1,0,0,,279945,397984.93,137732.61,801 N STREET NW,2023/03/13 05:00:26+00
-77.0118232896807,38.8645019645914,44662,Ward 6,"88 v Street Southwest, Washington, District of Columbia 20024",88 V St SW,Completed 2015 to Date,DHCD,8,38.86449418,-77.011821,0,0,0,8,0,,314966,398974.09,132963.95,88 V STREET SW,2023/03/13 05:00:26+00
-76.9698246231119,38.8701920713177,44663,Ward 7,"1614 26th Pl SE, Washington, District of Columbia 20020",26th Place Flats,Completed 2015 to Date,DHCD,2,38.87018429,-76.96982235,0,1,0,1,0,,313248,402618.82,133595.96,1614 26TH PLACE SE,2023/03/13 05:00:26+00
-76.9186596905295,38.8944243586261,44664,Ward 7,"5701 Dix Street Northeast, Washington, District of Columbia 20019",Turner Flats at Beulah Crossing,Under Construction,DHCD,6,38.8944362,-76.9189464,0,3,0,3,0,,7253,407056.52,136288.64,5701 DIX STREET NE,2023/03/13 05:00:26+00
-76.990804990123,38.9267125423782,44665,Ward 5,"2900 12th Street Northeast, Washington, District of Columbia 20017",Aramko condominium,Completed 2015 to Date,DHCD,1,38.92670475,-76.99080271,0,1,0,0,0,,43833,400797.51,139869.79,2900 12TH STREET NE,2023/03/13 05:00:26+00
-77.0404822069899,38.9206010419668,44666,Ward 1,"1731 Kalorama Road Northwest, Washington, District of Columbia 20009",1731 Kalorama Rd NW,Completed 2015 to Date,DHCD,4,38.92059325,-77.04047991,0,0,0,4,0,,284081,396489.63,139192.1,1731 KALORAMA ROAD NW,2023/03/13 05:00:26+00
-77.0317020874189,38.9127847906641,44667,Ward 2,"1701 14th Street Northwest, Washington, District of Columbia 20009",The Liz,Completed 2015 to Date,DHCD,12,38.91277734,-77.03169979,0,1,11,0,0,,238070,397250.73,138324.13,1701 14TH STREET NW,2023/03/13 05:00:26+00
-76.9929168958064,38.9004401416497,44668,Ward 6,"920 H Street Northeast, Washington, District of Columbia 20002",Ashton Park,Completed 2015 to Date,DHCD,2,38.90043269,-76.99291461,0,1,1,0,0,,82520,400614.61,136953.32,920 H STREET NE,2023/03/13 05:00:26+00
-77.0514565853382,38.9240330403613,44669,Ward 3,"2607 Connecticut Avenue Northwest, Washington, District of Columbia 20009",2607 Connecticut Ave NW,Completed 2015 to Date,DHCD,2,38.92402558,-77.05145428,0,0,0,2,0,,219104,395538.16,139573.56,2607 CONNECTICUT AVENUE NW,2023/03/13 05:00:26+00
-77.0340179441073,38.9202856491954,44670,Ward 1,"1460 Belmont St NW, Washington, District of Columbia 20009",1460 Belmont St NW,Under Construction,DHCD,2,38.92027819,-77.03401565,0,0,0,2,0,,234130,397050.19,139156.86,1460 BELMONT STREET NW,2023/03/13 05:00:26+00
-77.016058411873,38.9737503134615,44671,Ward 4,"218 Vine Street Northwest, Washington, District of Columbia 20012",218 Vine St NW - 4%,Completed 2015 to Date,DCHFA DHCD,92,38.97374251,-77.01605612,26,53,13,0,0,,300685,398608.67,145091.49,218 VINE STREET NW,2023/03/13 05:00:26+00
-77.0093682731184,38.9107040959244,44672,Ward 5,"1540 North Capitol Street Northwest, Washington, District of Columbia 20002",The Barnett Aden,Pipeline,DHCD,27,38.91069664,-77.00936599,6,8,0,13,0,,236787,399187.68,138092.72,1540 NORTH CAPITOL STREET NW,2023/03/13 05:00:26+00
-76.9831897025253,38.8656513679049,44673,Ward 8,"1928 15th Street Southeast, Washington, District of Columbia 20020",Homes Within Reach,Completed 2015 to Date,DHCD,2,38.86563863,-76.98318236,0,2,0,0,0,,319482,401459.09,133091.61,1928 15TH STREET SE,2023/03/13 05:00:26+00
-77.006882422311,38.8318773036743,44674,Ward 8,"17 Mississippi Avenue Southeast, Washington, District of Columbia 20032",17 Mississippi Ave SE,Under Construction,DCHFA DHCD,41,38.83183787,-77.00703263,9,32,0,0,0,,57948,399402.62,129342.34,17 MISSISSIPPI AVENUE SE,2023/03/13 05:00:26+00
-76.9932522163054,38.8618181302611,44675,Ward 8,"2442 Martin Luther King Jr Avenue Southeast, Washington, District of Columbia 20020",2442 MLK,Completed 2015 to Date,DCHFA DHCD,112,38.86181035,-76.99324994,6,106,0,0,0,,331211,400585.84,132665.98,2442 MARTIN LUTHER KING JR AVENUE SE,2023/03/13 05:00:26+00
-77.0190387030595,38.9743826045148,44676,Ward 4,"410 Cedar Street Northwest, Washington, District of Columbia 20012",Cedar St Apartments,Completed 2015 to Date,DHCD,30,38.97437514,-77.01903641,3,0,23,4,0,,249123,398350.43,145161.73,410 CEDAR STREET NW,2023/03/13 05:00:26+00
-76.9881568220423,38.8431135133498,44677,Ward 8,"1301 Savannah Street Southeast, Washington, District of Columbia 20032",Savannah Apartments II,Completed 2015 to Date,DCHFA DHCD,65,38.84310607,-76.98815455,7,51,7,0,0,,155736,401028.34,130589.68,1301 SAVANNAH STREET SE,2023/03/13 05:00:26+00
-77.0374881692831,38.925661024975,44678,Ward 1,"1630 Columbia Road Northwest, Washington, District of Columbia 20009",1630 Columbia RD NW,Completed 2015 to Date,DHCD,15,38.92581445,-77.03731712,0,1,14,0,0,,300437,396749.5,139753.69,1630 COLUMBIA ROAD NW,2023/03/13 05:00:26+00
-77.0087263512786,38.913114687589,44679,Ward 5,"1715 North Capitol Street Northeast, Washington, District of Columbia 20002",1715 North Capitol Street NE,Completed 2015 to Date,DHCD,1,38.91310723,-77.00872406,0,0,1,0,0,,57422,399243.38,138360.31,1715 NORTH CAPITOL STREET NE,2023/03/13 05:00:26+00
-77.028417244203,38.9570907193501,44680,Ward 4,"1202 Longfellow Street Northwest, Washington, District of Columbia 20011",1202 Longfellow,Completed 2015 to Date,DHCD,1,38.95708325,-77.02841495,0,1,0,0,0,,253102,397537.15,143242.38,1202 LONGFELLOW STREET NW,2023/03/13 05:00:26+00
-76.9811029545539,38.8856589730993,44681,Ward 6,"261 17th Street Southeast, Washington, District of Columbia 20003",Eastern Branch Boys and Girls Club,Pipeline,DMPED,11,38.88565119,-76.98110068,0,5,0,6,0,,45845,401639.73,135312.64,261 17TH STREET SE,2023/03/13 05:00:26+00
-77.0356319314204,38.937678148731,44682,Ward 4,"1445 Spring Road Northwest, Washington, District of Columbia 20010",1445 Spring Rd NW Renovation,Completed 2015 to Date,DCHFA DHCD,11,38.93767069,-77.03562963,6,4,0,1,2,,259017,396910.98,141087.63,1445 SPRING ROAD NW,2023/03/13 05:00:26+00
-77.0308206540718,38.9740099444327,44683,Ward 4,"1320 Main Drive Northwest, Washington, District of Columbia 20012",Abrams Hall Assisted Living (Building 14N),Completed 2015 to Date,DMPED DHCD,54,38.97400214,-77.03081836,54,0,0,0,0,,316863,397329.47,145120.64,1320 MAIN DRIVE NW,2023/03/13 05:00:26+00
-77.0196257195387,38.9063818795237,44684,Ward 6,"1201 6th Street Northwest, Washington, District of Columbia 20002",1200 5th St NW,Under Construction,DHCD OP,41,38.90637443,-77.01962343,0,3,38,0,0,19-16,302356,398297.94,137613.06,1201 6TH STREET NW,2023/03/13 05:00:26+00
-77.0274962351394,38.9362188393794,44685,Ward 4,"1001 Spring Road Northwest, Washington, District of Columbia 20010",The Robeson - Spring Flats Family - Affordable,Completed 2015 to Date,DMPED DCHFA DHCD,58,38.93621104,-77.02749394,9,49,0,0,0,,320396,397616.28,140925.39,1001 SPRING ROAD NW,2023/03/13 05:00:26+00
